Location,Station (that the lat and long come from),Lat,Long
Admiral,JWS_Admiral,33.71821,-118.07681
Bolsa,JWS_Bolsa,33.68625,-118.04375
Chuck_Fishermen,JWS_ChuckFishermen,28.89139,-113.50917
El_Porto,JWS_El_Porto,33.898783,-118.42365
El_Segundo,JWS_El_Segundo,33.909133,-118.43191
Hermosa,JWS_Hermosa_10th,33.8598,-118.40654
Huntington,JWS_Huntington,33.6584,-118.0147
KnobHill,JWS_KnobHill,33.82926,-118.39398
Manhattan,JWS_Manhattan,33.89005,-118.42294
Oceanside_BarnKelp,JWS_Oceanside_BarnKelp,33.28598,-117.49027
Oceanside_Powerhouse,JWS_Oceanside_Powerhouse,33.3453,-117.5622
Oceanside_Trestles,JWS_Oceanside_Trestles,33.3811,-117.61228
Pt.Vicente,JWS_Pt.Vicente,33.742829,-118.41317
Roundhouse,JWS_Roundhouse,33.883414,-118.41461
SanClemente,JWS_SanClemente,33.41768,-117.62375
SanLusiObispo,JWS_SanLusiObispo,35.16983,-120.741
Santa_Monica_Bay,JWS_Santa_Monica_Pier,34.00716,-118.49899
Scammon,JWS_Scammon_1,27.848844,-114.28072
Surfside,JWS_Surfside,33.72633,-118.08641
Torrance,JWS_Torrance,33.81233,-118.39398
Ventura,JWS_Ventura_2,34.215016,-119.26806
Warner,JWS_Warner,33.70963,-118.06759
Will_Rogers,JWS_WillRogers1,34.03082,-118.54152
