Station,Lat,Long
JWS_Santa_Monica_Pier,34.00716,-118.49899
JWS_Will_Rogers2,34.03679,-118.54838
JWS_Will_Rogers1,34.03082,-118.54152
JWS_Huntington,33.6584,-118.0147
JWS_SanClemente,33.41768,-117.62375
JWS_ChuckFishermen,28.89139,-113.50917
JWS_Roundhouse,33.883414,-118.41461
JWS_Oceanside_Powerhouse,33.3453,-117.5622
JWS_Scammon_3,27.698778,-114.14743
JWS_Scammon_2,27.776625,-114.29791
JWS_Scammon_1,27.848844,-114.28072
JWS_Hermosa_28th,33.87173,-118.41146
JWS_Hermosa_10th,33.8598,-118.40654
JWS_Manhattan_26th,33.89005,-118.42294
JWS_El_Porto,33.898783,-118.42365
JWS_El_Segundo,33.909133,-118.43191
JWS_KnobHill,33.82926,-118.39398
JWS_Scammon_5,28.01575,-114.21703
JWS_Torrance,33.81233,-118.39398
JWS_Pt.Vicente,33.742829,-118.41317
JWS_Oceanside_Trestles,33.3811,-117.61228
JWS_Ventura_Harbor_Patrol,34.24241,-119.27392
JWS_Ventura_Harbor,34.24241,-119.27392
JWS_Ventura_2,34.215016,-119.26806
JWS_Ventura_3,34.2035,-119.26163
JWS_Oceanside_BarnKelp,33.28598,-117.49027
JWS_SanLuisObispo,35.16983,-120.741
JWS_Surfside,33.72633,-118.08641
JWS_Admiral,33.71821,-118.07681
JWS_Warner,33.70963,-118.06759
JWS_Bolsa,33.68625,-118.04375
