tag_code,study_name,tagging_date,species_name,animal_weight,animal_length_total,animal_length_fork,depth,gender,capture_method,location,owner_name,Ascention
A69-1303-46863,Juvenile_White_Shark,8/17/2010,Carcharodon carcharias,98,200,170,,F,purse_seine,Santa_Monica_Bay,Chris Lowe,1
A69-1303-46861,Juvenile_White_Shark,8/18/2010,Carcharodon carcharias,,155,143.5,,F,purse_seine,Santa_Monica_Bay,Chris Lowe,2
A69-1303-46862,Juvenile_White_Shark,8/18/2010,Carcharodon carcharias,37.2,166,146,,F,purse_seine,Santa_Monica_Bay,Chris Lowe,3
A69-1303-46860,Juvenile_White_Shark,8/19/2010,Carcharodon carcharias,,162,149.2,,M,purse_seine,Santa_Monica_Bay,Chris Lowe,4
A69-1303-45044,Juvenile_White_Shark,7/10/2011,Carcharodon carcharias,14.1,128,116,,F,gillnet,Ventura,Chris Lowe,5
A69-1303-45043,Juvenile_White_Shark,7/13/2011,Carcharodon carcharias,27.7,142,129,,M,gillnet,Ventura,Chris Lowe,6
A69-1303-45047,Juvenile_White_Shark,8/1/2011,Carcharodon carcharias,40.9,157,143,,F,gillnet,Ventura,Chris Lowe,7
A69-1303-45045,Juvenile_White_Shark,10/25/2011,Carcharodon carcharias,23.6,140.5,130.5,,M,purse_seine,Goleta,Chris Lowe,8
A69-1303-46859,Juvenile_White_Shark,6/14/2012,Carcharodon carcharias,35.1,146,135,,F,gillnet,Ventura,Chris Lowe,9
A69-1303-45048,Juvenile_White_Shark,6/23/2012,Carcharodon carcharias,31.65,146,129,,F,gillnet,Ventura,Chris Lowe,10
A69-1601-30029,Juvenile_White_Shark,8/16/2012,Carcharodon carcharias,,155.5,138,,M,purse_seine,Santa_Monica_Bay,Chris Lowe,11
A69-1601-30030,Juvenile_White_Shark,8/17/2012,Carcharodon carcharias,,146,129,,M,gillnet,Ventura,Chris Lowe,12
A69-1601-30028,Juvenile_White_Shark,8/28/2013,Carcharodon carcharias,36.35,159,142,,F,purse_seine,Santa_Monica_Bay,Chris Lowe,13
A69-1601-19097,Juvenile_White_Shark,11/6/2014,Carcharodon carcharias,,,,,,dart,Santa_Monica_Bay,Chris Lowe,14
A69-1601-19098,Juvenile_White_Shark,11/6/2014,Carcharodon carcharias,,,,,,dart,Santa_Monica_Bay,Chris Lowe,15
A69-1601-19099,Juvenile_White_Shark,11/6/2014,Carcharodon carcharias,,,,,,dart,Santa_Monica_Bay,Chris Lowe,16
A69-1303-45046,Juvenile_White_Shark,11/6/2014,Carcharodon carcharias,71.9,198,179,,M,purse_seine,Santa_Monica_Bay,Chris Lowe,17
A69-1601-21543,Juvenile_White_Shark,3/20/2015,Carcharodon carcharias,,,,,,dart,Ventura,Chris Lowe,18
A69-1601-21542,Juvenile_White_Shark,3/20/2015,Carcharodon carcharias,,,,,,dart,Ventura,Chris Lowe,19
A69-1601-21541,Juvenile_White_Shark,3/20/2015,Carcharodon carcharias,,,,,,dart,Ventura,Chris Lowe,20
A69-1601-33124,Juvenile_White_Shark,5/22/2015,Carcharodon carcharias,,,,,,dart,Surfside,Chris Lowe,21
A69-1601-33121,Juvenile_White_Shark,5/22/2015,Carcharodon carcharias,,,,,,dart,Surfside,Chris Lowe,22
A69-1601-33120,Juvenile_White_Shark,5/22/2015,Carcharodon carcharias,,,,,,dart,Surfside,Chris Lowe,23
A69-1601-33122,Juvenile_White_Shark,5/22/2015,Carcharodon carcharias,,,,,,dart,Surfside,Chris Lowe,24
A69-1601-21546,Juvenile_White_Shark,5/22/2015,Carcharodon carcharias,,,,,,dart,Surfside,Chris Lowe,25
A69-1601-33119,Juvenile_White_Shark,5/22/2015,Carcharodon carcharias,,,,,,dart,Surfside,Chris Lowe,26
A69-1303-45043,Juvenile_White_Shark,7/25/2015,Carcharodon carcharias,35.5,161.5,140,,M,gillnet,Oxnard,Chris Lowe,27
A69-1601-36269,Juvenile_White_Shark,8/5/2015,Carcharodon carcharias,,,,,,dart,Surfside,Chris Lowe,28
A69-1601-36271,Juvenile_White_Shark,8/5/2015,Carcharodon carcharias,,,,,,dart,Surfside,Chris Lowe,29
A69-1601-36270,Juvenile_White_Shark,8/5/2015,Carcharodon carcharias,,,,,,dart,Surfside,Chris Lowe,30
A69-1601-36272,Juvenile_White_Shark,8/5/2015,Carcharodon carcharias,,,,,,dart,Surfside,Chris Lowe,31
A69-1601-36273,Juvenile_White_Shark,8/5/2015,Carcharodon carcharias,,,,,,dart,Surfside,Chris Lowe,32
A69-1601-21545,Juvenile_White_Shark,8/5/2015,Carcharodon carcharias,,,,,,dart,Surfside,Chris Lowe,33
A69-1601-37952,Juvenile_White_Shark,10/21/2015,Carcharodon carcharias,,,,,,dart,Surfside,Chris Lowe,34
